Word1,Word2,Alpha,Nonalpha,OverallFreq,Word1_freq,Word2_freq,Weird?,Form,Percept,Culture,Power,Intense,Icon,Freq,Len,Lapse,*BStress,RelFreq,GenPref,Attested,Judgements,Alpha_Proportion
keas,wolverines,keas and wolverines,wolverines and keas,0,41506.0,1749798.0,no,0,-1,-1,-1,0,0,-3.741417637,2,0,0,0.0,,0,"[0, 1, 0, 1, 1, 1, 1, 1, 1, 1]",0.8
bonobos,wolverines,bonobos and wolverines,wolverines and bonobos,0,290761.0,1749798.0,no,0,0,0,0,0,0,-1.794754008,0,-1,-1,0.0,,0,"[0, 1, 0, 0, 1, 1, 1, 0, 1, 0]",0.5
capybaras,ibex,capybaras and ibex,ibex and capybaras,0,77225.0,405760.0,no,0,0,0,0,0,0,-1.659038613,-2,-1,-1,0.0,,0,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 1]",0.3
capybaras,harpies,capybaras and harpies,harpies and capybaras,0,77225.0,186488.0,no,0,1,0,-1,-1,0,-0.881643655,-2,0,0,0.0,,0,"[0, 0, 1, 0, 1, 0, 0, 0, 0, 0]",0.2
capybaras,keas,capybaras and keas,keas and capybaras,0,77225.0,41506.0,no,0,1,1,1,0,0,0.620885244,-3,-1,-1,0.0,,0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",0.1
ibex,narwhals,ibex and narwhals,narwhals and ibex,0,405760.0,86641.0,no,0,1,0,-1,0,0,1.543988707,0,0,0,0.0,,0,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 1]",0.4
harpies,narwhals,harpies and narwhals,narwhals and harpies,0,186488.0,86641.0,no,0,-1,0,0,1,0,0.766593749,0,-1,-1,0.0,,0,"[1, 1, 0, 1, 1, 0, 1, 1, 1, 1]",0.8
keas,narwhals,keas and narwhals,narwhals and keas,0,41506.0,86641.0,no,0,0,-1,-1,0,0,-0.73593515,1,0,0,0.0,,0,"[0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",0.2
ibex,ocelots,ibex and ocelots,ocelots and ibex,0,405760.0,84729.0,no,0,0,0,0,0,0,1.566303924,1,0,0,0.0,,0,"[1, 1, 1, 0, 1, 1, 1, 0, 1, 1]",0.8
keas,ocelots,keas and ocelots,ocelots and keas,0,41506.0,84729.0,no,0,-1,-1,-1,0,0,-0.713619933,2,0,0,0.0,,0,"[1, 1, 1, 1, 1, 0, 1, 1, 1, 0]",0.8
bonobos,ocelots,bonobos and ocelots,ocelots and bonobos,0,290761.0,84729.0,no,0,0,1,0,0,0,1.233043696,0,-1,-1,0.0,,0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0
harpies,ibex,harpies and ibex,ibex and harpies,0,186488.0,405760.0,no,0,-1,0,0,1,0,-0.777394958,0,-1,-1,0.0,,0,"[0, 1, 1, 0, 1, 1, 1, 1, 1, 1]",0.8
ibex,keas,ibex and keas,keas and ibex,0,405760.0,41506.0,no,0,1,1,1,0,0,2.279923857,-1,0,0,0.0,,0,"[1, 1, 0, 0, 0, 1, 1, 0, 1, 1]",0.6
bonobos,ibex,bonobos and ibex,ibex and bonobos,0,290761.0,405760.0,no,0,0,0,0,0,0,-0.333260228,-1,-1,-1,0.0,,0,"[1, 1, 0, 1, 0, 0, 1, 0, 1, 1]",0.6
ibex,koalas,ibex and koalas,koalas and ibex,0,405760.0,625349.0,no,0,0,-1,0,0,0,-0.432548042,1,1,1,0.0,,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0
ibex,sloths,ibex and sloths,sloths and ibex,0,405760.0,420234.0,no,0,0,-1,1,0,0,-0.035049847,-1,0,0,0.0,,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0
aardvarks,ibex,aardvarks and ibex,ibex and aardvarks,0,58045.0,405760.0,no,0,0,1,0,0,0,-1.94454328,0,0,0,0.0,,0,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.9
harpies,keas,harpies and keas,keas and harpies,0,186488.0,41506.0,no,0,-1,1,1,1,0,1.502528899,-1,-1,-1,0.0,,0,"[0, 1, 0, 1, 1, 1, 1, 1, 1, 1]",0.8
bonobos,harpies,bonobos and harpies,harpies and bonobos,0,290761.0,186488.0,no,0,1,0,-1,-1,0,0.44413473,-1,0,0,0.0,,0,"[1, 0, 1, 1, 0, 0, 0, 1, 0, 0]",0.4
harpies,koalas,harpies and koalas,koalas and harpies,0,186488.0,625349.0,no,0,-1,-1,0,1,0,-1.209943,1,0,0,0.0,,0,"[0, 1, 1, 1, 1, 0, 0, 0, 0, 0]",0.4
harpies,wombats,harpies and wombats,wombats and harpies,0,186488.0,228721.0,no,0,-1,0,1,1,0,-0.204136026,0,-1,-1,0.0,,0,"[1, 1, 1, 1, 0, 1, 0, 0, 1, 1]",0.7
aardvarks,harpies,aardvarks and harpies,harpies and aardvarks,0,58045.0,186488.0,no,0,1,0,0,-1,0,-1.167148322,0,1,1,0.0,,0,"[1, 0, 0, 1, 1, 0, 1, 1, 1, 0]",0.6
bonobos,keas,bonobos and keas,keas and bonobos,0,290761.0,41506.0,no,0,1,1,1,0,0,1.946663629,-2,-1,-1,0.0,,0,"[1, 1, 1, 0, 0, 1, 0, 0, 1, 1]",0.6
keas,koalas,keas and koalas,koalas and keas,0,41506.0,625349.0,no,0,-1,-1,-1,0,0,-2.712471899,2,1,1,0.0,,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.1
keas,sloths,keas and sloths,sloths and keas,0,41506.0,420234.0,no,0,-1,-1,0,0,0,-2.314973704,0,0,0,0.0,,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0
keas,wombats,keas and wombats,wombats and keas,0,41506.0,228721.0,no,0,-1,-1,-1,0,0,-1.706664925,1,0,0,0.0,,0,"[1, 1, 0, 1, 0, 1, 0, 1, 1, 0]",0.6
keas,lions,keas and lions,lions and keas,0,41506.0,19766321.0,no,0,-1,-1,-1,-1,0,-6.165896814,0,1,1,0.0,,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0
aardvarks,keas,aardvarks and keas,keas and aardvarks,0,58045.0,41506.0,no,0,1,1,1,0,0,0.335380577,-1,0,0,0.0,,0,"[0, 0, 0, 1, 0, 0, 1, 1, 1, 1]",0.5
bonobos,wombats,bonobos and wombats,wombats and bonobos,0,290761.0,228721.0,no,0,0,0,1,0,0,0.239998704,-1,-1,-1,0.0,,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",0.1
aardvarks,bonobos,aardvarks and bonobos,bonobos and aardvarks,0,58045.0,290761.0,no,0,0,0,0,0,0,-1.611283052,1,1,1,0.0,,0,"[0, 1, 1, 0, 1, 1, 1, 0, 1, 0]",0.6
ocarinas,vibraphones,ocarinas and vibraphones,vibraphones and ocarinas,0,25781.0,16255.0,no,0,0,1,0,0,0,0.461237233,-1,-1,-1,0.0,,0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",0.1
cymbals,ocarinas,cymbals and ocarinas,ocarinas and cymbals,0,840625.0,25781.0,no,0,0,1,1,0,0,3.484507876,2,0,0,0.0,,0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0
clarinets,ocarinas,clarinets and ocarinas,ocarinas and clarinets,0,243271.0,25781.0,no,0,0,1,1,0,0,2.244538262,0,1,1,0.0,,0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0
cellos,ocarinas,cellos and ocarinas,ocarinas and cellos,0,268657.0,25781.0,no,0,0,1,0,0,0,2.343797687,2,0,0,0.0,,0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0
didgeridoos,vibraphones,didgeridoos and vibraphones,vibraphones and didgeridoos,0,27696.0,16255.0,no,0,0,0,0,0,0,0.532887445,-1,0,0,0.0,,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",0.1
lutes,marimbas,lutes and marimbas,marimbas and lutes,0,159875.0,46966.0,no,0,0,0,0,0,0,1.224968324,2,1,1,0.0,,0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0
kalimbas,lutes,kalimbas and lutes,lutes and kalimbas,0,14400.0,159875.0,no,0,0,0,0,0,0,-2.407164053,-2,-1,-1,0.0,,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0
clarinets,kalimbas,clarinets and kalimbas,kalimbas and clarinets,0,243271.0,14400.0,no,0,0,1,1,0,0,2.826947842,0,1,1,0.0,,0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0
kalimbas,trumpets,kalimbas and trumpets,trumpets and kalimbas,0,14400.0,1217280.0,no,0,0,-1,-1,0,0,-4.437145934,-1,0,0,0.0,,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0
cellos,kalimbas,cellos and kalimbas,kalimbas and cellos,0,268657.0,14400.0,no,0,0,1,1,0,0,2.926207266,1,0,0,0.0,,0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0
kalimbas,saxophones,kalimbas and saxophones,saxophones and kalimbas,0,14400.0,327480.0,no,0,0,-1,-1,0,0,-3.124198778,0,-1,-1,0.0,,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0
lutes,saxophones,lutes and saxophones,saxophones and lutes,0,159875.0,327480.0,no,0,0,-1,-1,0,0,-0.717034725,2,0,0,0.0,,0,"[0, 0, 1, 1, 0, 1, 1, 1, 1, 1]",0.7
casserole,eagle,casserole and eagle,eagle and casserole,0,3588647.0,16512285.0,yes,0,-1,0,0,-1,0,-1.526329398,-1,1,1,0.0,,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0
kite,linguist,kite and linguist,linguist and kite,0,4339660.0,874073.0,yes,0,-1,1,0,0,0,1.602387387,1,1,1,0.0,,0,"[0, 1, 0, 0, 0, 0, 1, 0, 0, 1]",0.3
algorithm,perfume,algorithm and perfume,perfume and algorithm,0,54688589.0,7461375.0,yes,0,-1,-1,0,0,0,1.991915363,-2,-1,-1,0.0,,0,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 1]",0.3
forest,screwdriver,forest and screwdriver,screwdriver and forest,0,73685641.0,2733340.0,yes,0,0,0,0,0,0,3.294283645,1,0,0,0.0,,0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0
slipper,volcano,slipper and volcano,volcano and slipper,0,1118544.0,6804199.0,yes,0,0,1,-1,-1,0,-1.805512082,1,0,0,0.0,,0,"[1, 1, 1, 1, 1, 1, 1, 0, 1, 1]",0.9
harmonica,microscope,harmonica and microscope,microscope and harmonica,0,1359198.0,7785003.0,yes,0,0,0,0,0,0,-1.745304371,-1,-2,-1,0.0,,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",0.1
cookbook,zenith,cookbook and zenith,zenith and cookbook,0,7003414.0,2247901.0,yes,0,1,1,0,0,0,1.136400853,0,1,1,0.0,,0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0
hammock,hydrogen,hammock and hydrogen,hydrogen and hammock,0,2652599.0,20814788.0,yes,0,1,-1,0,0,0,-2.060123782,1,1,0,0.0,,0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0
neuron,toaster,neuron and toaster,toaster and neuron,0,4244660.0,2894568.0,yes,0,-1,-1,0,0,0,0.382825845,0,1,0,0.0,,0,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",0.3
marshmallow,telescope,marshmallow and telescope,telescope and marshmallow,0,2541363.0,8152575.0,yes,0,0,0,0,0,0,-1.165633277,0,-1,-1,0.0,,0,"[1, 1, 0, 1, 1, 0, 0, 1, 1, 1]",0.7
casserole,optics,casserole and optics,optics and casserole,0,3588647.0,6974820.0,yes,0,1,0,0,0,0,-0.66453127,-1,1,1,0.0,,0,"[0, 0, 0, 1, 0, 1, 0, 0, 1, 1]",0.4
comet,encyclopedia,comet and encyclopedia,encyclopedia and comet,0,3887981.0,10025067.0,yes,0,-1,0,1,0,0,-0.947198657,4,1,0,0.0,,0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0
nimbus,waffle,nimbus and waffle,waffle and nimbus,0,587749.0,3154327.0,yes,0,-1,-1,0,0,0,-1.680230454,0,0,0,0.0,,0,"[1, 0, 1, 0, 1, 1, 1, 0, 1, 0]",0.6
photon,pumpkin,photon and pumpkin,pumpkin and photon,0,7096631.0,15686397.0,yes,0,-1,-1,0,0,0,-0.793173739,0,1,1,0.0,,0,"[0, 1, 0, 1, 0, 0, 1, 1, 0, 1]",0.5
lantern,syntax,lantern and syntax,syntax and lantern,0,4902023.0,12562326.0,yes,0,1,1,0,0,0,-0.941054358,0,-1,-1,0.0,,0,"[1, 1, 1, 0, 1, 1, 1, 0, 0, 1]",0.7
echo,vineyard,echo and vineyard,vineyard and echo,0,45064711.0,6846272.0,yes,0,-1,0,0,0,0,1.884395208,0,0,0,0.0,,0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0
nebula,snowman,nebula and snowman,snowman and nebula,0,2168144.0,1807152.0,yes,0,-1,-1,0,0,0,0.182119377,-1,-2,-1,0.0,,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0
botany,teapot,botany and teapot,teapot and botany,0,2063328.0,1331484.0,yes,0,-1,-1,0,0,0,0.438026104,-1,-2,-1,0.0,,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",0.1
chisel,kaleidoscope,chisel and kaleidoscope,kaleidoscope and chisel,0,1285176.0,1118092.0,yes,0,0,0,1,0,0,0.139272013,2,-1,-1,0.0,,0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0
lava,teacup,lava and teacup,teacup and lava,0,6111697.0,853094.0,yes,0,-1,-1,1,0,0,1.969090014,0,-1,-1,0.0,,0,"[1, 0, 0, 1, 0, 0, 1, 0, 0, 0]",0.3
entropy,orchard,entropy and orchard,orchard and entropy,0,8265645.0,5707498.0,yes,0,-1,-1,0,0,0,0.370327019,-1,-1,0,0.0,,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",0.1
axolotl,vineyard,axolotl and vineyard,vineyard and axolotl,0,204694.0,6846272.0,yes,0,1,0,0,0,0,-3.509943368,-2,0,0,0.0,,0,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 1]",0.3
clockwork,meadow,clockwork and meadow,meadow and clockwork,0,1808950.0,4852235.0,yes,0,-1,0,0,0,0,-0.986692857,0,1,1,0.0,,0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",0.1
algebra,telescope,algebra and telescope,telescope and algebra,0,17427385.0,2758.0,yes,0,-1,0,0,0,0,8.751292319,0,-2,-1,0.0,,0,"[1, 1, 0, 1, 1, 1, 1, 1, 1, 1]",0.9
arcade,topaz,arcade and topaz,topaz and arcade,0,10059930.0,1032617.0,yes,0,0,0,0,0,0,2.27646385,0,0,0,0.0,,0,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 1]",0.9
asteroid,compass,asteroid and compass,compass and asteroid,0,3406257.0,8062871.0,yes,0,-1,0,1,0,0,-0.861655662,-1,0,0,0.0,,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0]",0.2
bicycle,nebula,bicycle and nebula,nebula and bicycle,0,15875767.0,2168144.0,yes,0,1,1,0,0,0,1.990922357,0,0,0,0.0,,0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0
bungalow,entropy,bungalow and entropy,entropy and bungalow,0,2493634.0,8265645.0,yes,0,1,0,0,0,0,-1.198366684,0,2,1,0.0,,0,"[1, 0, 0, 1, 0, 1, 0, 0, 0, 1]",0.4
carnation,gnome,carnation and gnome,gnome and carnation,0,555072.0,3256725.0,yes,0,0,0,0,0,0,-1.769379533,-2,-1,-1,0.0,,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",0.1
cinnamon,harmonica,cinnamon and harmonica,harmonica and cinnamon,0,13557070.0,1359198.0,yes,0,0,1,0,0,0,2.300013363,1,0,0,0.0,,0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0
coral,syntax,coral and syntax,syntax and coral,0,12309424.0,12562326.0,yes,0,1,1,0,0,0,-0.020337187,0,-1,-1,0.0,,0,"[1, 0, 0, 1, 1, 1, 1, 1, 1, 0]",0.7
dandelion,pendulum,dandelion and pendulum,pendulum and dandelion,0,1562624.0,2662527.0,yes,0,0,0,0,0,0,-0.532909212,-1,1,0,0.0,,0,"[1, 1, 0, 1, 0, 0, 1, 0, 0, 0]",0.4
delirium,telescope,delirium and telescope,telescope and delirium,0,1927281.0,8152575.0,yes,0,-1,-1,0,1,0,-1.442223627,-1,-2,-1,0.0,,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0
anchors,sandstorms,anchors and sandstorms,sandstorms and anchors,0,4024620.0,132208.0,yes,0,1,0,0,-1,0,3.415809335,0,-1,-1,0.0,,0,"[1, 1, 1, 1, 0, 1, 1, 1, 1, 1]",0.9
scissors,volcanoes,scissors and volcanoes,volcanoes and scissors,0,5169136.0,2902130.0,yes,0,0,1,-1,0,0,0.577260606,1,0,0,0.0,,0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0
equations,lanterns,equations and lanterns,lanterns and equations,0,27734850.0,2788354.0,yes,0,-1,0,0,0,0,2.297238288,-1,0,0,0.0,,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0
satellites,tulips,satellites and tulips,tulips and satellites,0,7275409.0,1634883.0,yes,0,-1,0,0,0,0,1.492928789,-1,1,1,0.0,,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0
compasses,hedgehogs,compasses and hedgehogs,hedgehogs and compasses,0,381535.0,703522.0,yes,0,-1,0,0,0,0,-0.611896559,-1,-2,-1,0.0,,0,"[0, 1, 0, 0, 1, 0, 0, 0, 1, 0]",0.3
comets,neckties,comets and neckties,neckties and comets,0,1747239.0,176271.0,yes,0,-1,0,1,0,0,2.293769523,0,-1,-1,0.0,,0,"[1, 0, 1, 1, 1, 0, 0, 1, 0, 1]",0.6
castles,headphones,castles and headphones,headphones and castles,0,4660868.0,13970646.0,yes,0,0,-1,1,0,0,-1.097756717,0,-1,-1,0.0,,0,"[1, 0, 0, 1, 1, 1, 1, 0, 0, 0]",0.5
paperclips,pyramids,paperclips and pyramids,pyramids and paperclips,0,153183.0,2740592.0,yes,0,0,1,-1,0,0,-2.884295949,0,0,0,0.0,,0,"[1, 0, 1, 1, 0, 0, 1, 1, 1, 1]",0.7
constellations,kettles,constellations and kettles,kettles and constellations,0,1738409.0,680590.0,yes,0,-1,0,0,0,0,0.937765537,-2,0,0,0.0,,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0
kaleidoscopes,whales,kaleidoscopes and whales,whales and kaleidoscopes,0,70869.0,7442182.0,yes,0,-1,-1,-1,0,0,-4.654086262,-3,0,0,0.0,,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0
meadows,pianos,meadows and pianos,pianos and meadows,0,5992006.0,1902404.0,yes,0,-1,-1,0,0,0,1.147307898,1,0,0,0.0,,0,"[1, 1, 1, 1, 0, 1, 1, 1, 1, 1]",0.9
magnets,zebras,magnets and zebras,zebras and magnets,0,5125680.0,829702.0,yes,0,-1,1,0,0,0,1.820951878,0,0,0,0.0,,0,"[0, 1, 0, 1, 0, 0, 0, 0, 0, 1]",0.3
parrots,submarines,parrots and submarines,submarines and parrots,0,1701107.0,2404517.0,yes,0,1,0,-1,0,0,-0.346069836,1,-1,-1,0.0,,0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0
crayons,jungles,crayons and jungles,jungles and crayons,0,1861354.0,1397754.0,yes,0,1,1,0,0,0,0.286437517,0,0,0,0.0,,0,"[1, 1, 1, 1, 1, 1, 1, 0, 1, 1]",0.9
harbor,teapot,harbor and teapot,teapot and harbor,0,17241253.0,1331484.0,yes,0,-1,0,0,0,0,2.561010833,0,-1,-1,0.0,,0,"[0, 1, 1, 0, 1, 1, 1, 0, 0, 1]",0.6
notebook,quicksand,notebook and quicksand,quicksand and notebook,0,13730144.0,501713.0,yes,0,0,1,-1,0,0,3.309320744,0,0,0,0.0,,0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0
glacier,lantern,glacier and lantern,lantern and glacier,0,6518648.0,4902023.0,yes,0,-1,0,0,0,0,0.285019015,0,0,0,0.0,,0,"[1, 1, 0, 1, 1, 0, 1, 1, 1, 1]",0.8
microscope,puddle,microscope and puddle,puddle and microscope,0,7785003.0,1995922.0,yes,0,0,0,0,0,0,1.361093092,-1,1,1,0.0,,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0
compass,swan,compass and swan,swan and compass,0,8062871.0,6606003.0,yes,0,-1,0,0,0,0,0.199290916,-1,-1,-1,0.0,,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0
bonsai,cathedral,bonsai and cathedral,cathedral and bonsai,0,1815798.0,13471166.0,yes,0,1,0,-1,0,0,-2.004026509,1,1,1,0.0,,0,"[1, 1, 0, 1, 1, 1, 1, 1, 0, 1]",0.8
honeycomb,violin,honeycomb and violin,violin and honeycomb,0,1932161.0,7817934.0,yes,0,0,-1,0,0,0,-1.39778126,0,0,0,0.0,,0,"[1, 0, 0, 1, 0, 0, 1, 0, 0, 0]",0.3
sailboat,stadium,sailboat and stadium,stadium and sailboat,0,1395717.0,34697787.0,yes,0,0,0,0,0,0,-3.213267648,1,2,1,0.0,,0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0
acorns,skyscrapers,acorns and skyscrapers,skyscrapers and acorns,0,1180119.0,1758558.0,yes,0,1,0,0,0,0,-0.398878874,1,1,1,0.0,,0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0
bell,trellis,bell and trellis,trellis and bell,0,35137586.0,1261653.0,yes,0,0,1,0,0,0,3.326848618,1,1,1,0.0,,0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0
inkwell,kite,inkwell and kite,kite and inkwell,0,174191.0,4339660.0,yes,0,0,-1,0,0,0,-3.215398885,-1,0,0,0.0,,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0
foxglove,trombone,foxglove and trombone,trombone and foxglove,0,216536.0,1431092.0,yes,0,0,-1,0,0,0,-1.888436253,0,1,1,0.0,,0,"[1, 0, 1, 0, 0, 1, 1, 0, 0, 1]",0.5
carousel,quill,carousel and quill,quill and carousel,0,3529054.0,1376012.0,yes,0,0,1,0,0,0,0.941840386,-2,0,0,0.0,,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",0.1
lighthouse,onion,lighthouse and onion,onion and lighthouse,0,6309314.0,19984482.0,yes,0,-1,-1,0,0,0,-1.152929118,0,1,1,0.0,,0,"[1, 1, 0, 1, 1, 1, 0, 0, 0, 0]",0.5
cactus,chessboard,cactus and chessboard,chessboard and cactus,0,3875670.0,482471.0,yes,0,0,0,0,1,0,2.083553015,0,-1,-1,0.0,,0,"[1, 0, 0, 1, 1, 0, 1, 1, 0, 1]",0.6
gallery,raindrop,gallery and raindrop,raindrop and gallery,0,47192034.0,300207.0,yes,0,0,0,0,0,0,5.057508149,-1,-2,-1,0.0,,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",0.1
