WordA,WordB,Alpha,Nonalpha,OverallFreq,Word1_freq,Word2_freq,Weird?,Form,Percept,Culture,Power,Intense,Icon,Freq,Len,Lapse,*BStress,RelFreq,GenPref,Attested,LogCenteredOverallFreq,Estimate,Est.Error,Q2.5,Q97.5,item,predicted_resp_value,predicted_resp,binom_prob,GeneratedSentence
north,south,north and south,south and north,1532336,,,no,0,0,1,0,0,0,-0.03060052,0,0,0,0.4390120709999999,0.1108186749999999,1,3.194319104775581,0.9424963565428632,0.0113710675834007,0.9175534698853174,0.9617457215078572,8,1,north and south,0.0272192657070817,The map shows the north and south regions of the country.
husbands,wives,husbands and wives,wives and husbands,272233,,,no,0,0,0,1,0,0,-0.652517327,-1,-1,-1,0.39565556,-0.0009969329999999,1,0.3410981220006498,0.7966249241114305,0.0145362852951319,0.767594576400778,0.8241616090057845,95,0,wives and husbands,0.0048357425272498,The survey asked wives and husbands about their work‑life balance.
north,south,north and south,south and north,1532336,,,no,0,0,1,0,0,0,-0.03060052,0,0,0,0.4390120709999999,0.1108186749999999,1,3.194319104775581,0.9424963565428632,0.0113710675834007,0.9175534698853174,0.9617457215078572,8,1,north and south,0.0272192657070817,The temperature differences between north and south are significant.
father,mother,father and mother,mother and father,1590868,,,no,0,0,-1,1,0,0,0.092175082,0,0,0,0.101676569,0.020166016,1,3.326851707716597,0.6863748208049598,0.0234139452426871,0.6401352416216487,0.7319502221586851,6,1,father and mother,0.0282589841894295,The father and mother attended the ceremony.
b,c,b and c,c and b,617842,,,no,0,0,0,0,0,1,-0.063063001,0,0,0,0.4447107839999999,0.284619268,1,1.1236522867283438,0.8991523683553344,0.0101229349857166,0.8783050043064344,0.9178258181294762,72,1,b and c,0.0109748812029442,The variables b and c were measured separately.
men,women,men and women,women and men,7628255,,,no,0,0,0,1,0,0,0.358413359,1,1,1,0.406428141,0.22889779,1,16.997162205773183,0.9994897777988272,0.0006675570085757,0.9977925747444234,0.9999577683015028,1,1,men and women,0.1355025919422208,The study collected data from men and women in urban and rural areas.
days,years,days and years,years and days,31764,,,no,0,0,1,0,0,1,-0.849834634,0,0,0,0.379297318,0.3382374019999999,1,-0.2033900638912218,0.8193772758579199,0.0140819027374816,0.7905709296688413,0.8457664656347214,203,1,days and years,0.0005642318368293,The study examined changes over days and years.
day,night,day and night,night and day,1876827,,,no,0,1,0,0,0,0,0.8583704,0,0,0,0.197528861,0.107221499,1,3.974341808933193,0.8287552251780391,0.0220035345971349,0.7832750022518573,0.869033433177916,3,0,night and day,0.0333385450705492,The temperature varies dramatically between night and day.
addresses,names,addresses and names,names and addresses,273323,,,no,0,0,-1,0,0,0,-1.569231594,-2,-1,-1,-0.492975344,-0.264672628,1,0.3435661828426799,0.1345275807346912,0.0112383520848647,0.1137315577464921,0.1576091472454254,23,0,names and addresses,0.0048551044685086,The database contains names and addresses.
pepper,salt,pepper and salt,salt and pepper,831039,,,no,0,0,-1,0,0,0,-1.263496356,-1,-1,-1,-0.439249542,-0.231116138,1,1.6063891374974213,0.1108888845782801,0.0128459188158458,0.0874343450843807,0.1377662022092591,13,0,salt and pepper,0.0147619525704202,I always keep salt and pepper on the kitchen counter.
faith,life,faith and life,life and faith,44519,,,no,0,0,-1,0,0,0,-1.948566279,0,0,0,0.196242054,-0.153172702,1,-0.1745092234874657,0.6058131021579805,0.0198768539471997,0.5675892398184649,0.6457771048828398,184,1,faith and life,0.0007908020760548,The study examined the relationship between faith and life.
black,white,black and white,white and black,2268565,,,no,0,-1,0,0,0,0,-0.212280694,0,0,0,0.332201855,-0.082472565,1,4.861344761350802,0.9217517281463764,0.0192589923236909,0.8784269557737162,0.9532033503249788,2,1,black and white,0.040297084652965,The photograph was black and white.
faith,love,faith and love,love and faith,130104,,,no,0,0,-1,0,0,0,-1.022993206,0,0,0,0.190178626,-0.130075839,1,0.0192788381319356,0.6170828588584238,0.0179310094006255,0.5825989805918766,0.6529820624788155,133,1,faith and love,0.0023110697298465,The community values faith and love above all else.
groups,individuals,groups and individuals,individuals and groups,441733,,,no,0,-1,0,0,0,0,0.599729376,4,2,1,-0.247854473,0.112101023,1,0.7248929043163422,0.3357690600225592,0.0193115358238825,0.2981495014062515,0.373495318396514,19,1,groups and individuals,0.007846613209235,The policy affects both groups and individuals across the country.
men,women,men and women,women and men,7628255,,,no,0,0,0,1,0,0,0.358413359,1,1,1,0.406428141,0.22889779,1,16.997162205773183,0.9994897777988272,0.0006675570085757,0.9977925747444234,0.9999577683015028,1,1,men and women,0.1355025919422208,The study surveyed men and women across the country.
hands,knees,hands and knees,knees and hands,339150,,,no,0,1,0,0,0,0,2.089498389,0,0,0,0.481444788,0.138599031,1,0.4926166792172822,0.8674515836450579,0.0108888466967899,0.845199878006145,0.8876433823033479,87,1,hands and knees,0.0060244058512994,She fell to her hands and knees during the marathon.
men,women,men and women,women and men,7628255,,,no,0,0,0,1,0,0,0.358413359,1,1,1,0.406428141,0.22889779,1,16.997162205773183,0.9994897777988272,0.0006675570085757,0.9977925747444234,0.9999577683015028,1,1,men and women,0.1355025919422208,The study surveyed men and women across the country.
city,county,city and county,county and city,315000,,,no,0,0,0,0,0,1,0.829040122,0,0,0,0.321015873,0.300533249,1,0.4379344137723029,0.8183132112599492,0.0127725321642568,0.7924225074414808,0.8422275148724956,89,1,city and county,0.0055954233912997,The city and county collaborated on the new transportation plan.
expense,time,expense and time,time and expense,78761,,,no,0,1,0,0,0,0,-3.610925808,0,0,0,-0.40732723,-0.0123728379999999,1,-0.0969758846316902,0.2415159453826561,0.0166006753242199,0.2099843613494922,0.2750229952373639,160,1,expense and time,0.0013990512435624,The project required a significant expense and time.
b,c,b and c,c and b,617842,,,no,0,0,0,0,0,1,-0.063063001,0,0,0,0.4447107839999999,0.284619268,1,1.1236522867283438,0.8991523683553344,0.0101229349857166,0.8783050043064344,0.9178258181294762,72,1,b and c,0.0109748812029442,The results for b and c were recorded separately.
father,mother,father and mother,mother and father,1590868,,,no,0,0,-1,1,0,0,0.092175082,0,0,0,0.101676569,0.020166016,1,3.326851707716597,0.6863748208049598,0.0234139452426871,0.6401352416216487,0.7319502221586851,6,1,father and mother,0.0282589841894295,The father and mother attended the school meeting.
forefinger,thumb,forefinger and thumb,thumb and forefinger,193360,,,no,0,0,1,-1,0,0,-1.902043309,-2,-1,-1,-0.397093504,-0.196613465,1,0.1625078809057494,0.1960469018438531,0.0123222265379219,0.1727946866709489,0.2210238310193923,25,0,thumb and forefinger,0.003434701799815,He pressed his thumb and forefinger together to test the temperature.
boys,girls,boys and girls,girls and boys,1835429,,,no,0,0,0,1,0,0,0.056064285,0,0,0,0.382519564,0.1258780029999999,1,3.8806053110080896,0.9391975816403516,0.0128405188909181,0.911040292982693,0.9607473237053664,4,1,boys and girls,0.0326031820941904,The school organized a field trip for boys and girls.
black,white,black and white,white and black,2268565,,,no,0,-1,0,0,0,0,-0.212280694,0,0,0,0.332201855,-0.082472565,1,4.861344761350802,0.9217517281463764,0.0192589923236909,0.8784269557737162,0.9532033503249788,2,1,black and white,0.040297084652965,The photograph was printed in black and white.
bread,cheese,bread and cheese,cheese and bread,105642,,,no,0,0,1,0,0,0,0.676206716,0,0,0,0.395780088,0.128895132,1,-0.0361098814256246,0.7986256530959431,0.0127389688966308,0.7728132728946916,0.8225879647918943,144,1,bread and cheese,0.0018765451362021,I bought bread and cheese at the market.
law,order,law and order,order and law,682080,,,no,0,1,0,0,0,1,-0.056705453,1,1,1,0.4852172769999999,0.387084889,1,1.2691048485359864,0.926438693979967,0.0093022128289324,0.9068621159500628,0.9431245926464216,70,1,law and order,0.0121159567832944,The government promised to maintain law and order.
day,night,day and night,night and day,1876827,,,no,0,1,0,0,0,0,0.8583704,0,0,0,0.197528861,0.107221499,1,3.974341808933193,0.8287552251780391,0.0220035345971349,0.7832750022518573,0.869033433177916,3,1,day and night,0.0333385450705492,The store is open day and night.
father,mother,father and mother,mother and father,1590868,,,no,0,0,-1,1,0,0,0.092175082,0,0,0,0.101676569,0.020166016,1,3.326851707716597,0.6863748208049598,0.0234139452426871,0.6401352416216487,0.7319502221586851,6,1,father and mother,0.0282589841894295,The father and mother attended the school meeting.
beauty,dignity,beauty and dignity,dignity and beauty,25267,,,no,0,0,0,0,0,0,1.035649349,1,1,0,0.021272806,0.0244877079999999,1,-0.2181010650753224,0.5344746514822101,0.0082418025828536,0.518460113121965,0.5505459370582051,45,0,dignity and beauty,0.0004488240089776,The sculpture embodies dignity and beauty.
female,male,female and male,male and female,1742846,,,no,0,0,0,-1,0,0,-0.009936803,-1,0,0,-0.4263520699999999,-0.150667323,1,3.670971845927655,0.0688884976035871,0.0156736939761092,0.0429503136448915,0.1042322018245525,5,1,female and male,0.0309586072248675,The study compared the health outcomes of female and male participants.
fruits,vegetables,fruits and vegetables,vegetables and fruits,667661,,,no,0,0,0,0,0,0,0.128017055,2,2,1,0.3501050679999999,0.108532524,1,1.236456252865131,0.8380873039743932,0.0122736067416073,0.8131524332060616,0.8611790560956395,16,1,fruits and vegetables,0.0118598284979638,The market offers fresh fruits and vegetables.
feelings,thoughts,feelings and thoughts,thoughts and feelings,480072,,,no,0,0,0,0,1,0,0.057240484,-1,-1,-1,-0.348635205,-0.081661731,1,0.8117029819517483,0.214431436929273,0.0135970704302857,0.18836636838525,0.2417659040579504,18,0,thoughts and feelings,0.0085276384073272,She expressed her thoughts and feelings in the interview.
spring,summer,spring and summer,summer and spring,381701,,,no,0,0,0,0,0,1,-0.095203156,1,1,1,0.4901414979999999,0.349533387,1,0.588963887372533,0.9002188752650254,0.0098127738667338,0.8798533476238025,0.9181819799247926,86,1,spring and summer,0.0067802498535953,The park is popular in spring and summer.
men,women,men and women,women and men,7628255,,,no,0,0,0,1,0,0,0.358413359,1,1,1,0.406428141,0.22889779,1,16.997162205773183,0.9994897777988272,0.0006675570085757,0.9977925747444234,0.9999577683015028,1,1,men and women,0.1355025919422208,The survey included responses from men and women across the country.
money,time,money and time,time and money,572131,,,no,0,0,0,0,0,0,-1.823941142,-1,-1,-1,-0.396630317,-0.150978794,1,1.0201499664072071,0.1650398934528705,0.0129851091984116,0.1404323544036421,0.191312270864679,74,0,time and money,0.0101629053342467,The project requires both time and money.
men,women,men and women,women and men,7628255,,,no,0,0,0,1,0,0,0.358413359,1,1,1,0.406428141,0.22889779,1,16.997162205773183,0.9994897777988272,0.0006675570085757,0.9977925747444234,0.9999577683015028,1,1,men and women,0.1355025919422208,The survey included men and women from all age groups.
jaws,teeth,jaws and teeth,teeth and jaws,26610,,,no,0,-1,-1,0,0,0,-2.084776924,0,0,0,0.0205561819999999,-0.225912058,1,-0.215060142404821,0.4610850746999902,0.0188532487585232,0.4259530431020055,0.5001990090164341,217,0,teeth and jaws,0.0004726800521983,The dentist examined the patient's teeth and jaws during the checkup.
health,spirits,health and spirits,spirits and health,50385,,,no,0,1,0,0,0,0,2.006343205,1,1,1,0.464354471,0.2314330919999999,1,-0.1612269804605403,0.8382830641032342,0.012607283733159,0.8124069822743684,0.8617414443782137,180,1,health and spirits,0.000895001293875,The program aims to improve health and spirits of the participants.
faith,love,faith and love,love and faith,130104,,,no,0,0,-1,0,0,0,-1.022993206,0,0,0,0.190178626,-0.130075839,1,0.0192788381319356,0.6170828588584238,0.0179310094006255,0.5825989805918766,0.6529820624788155,133,0,love and faith,0.0023110697298465,The community's love and faith helped them rebuild after the storm.
body,head,body and head,head and body,172950,,,no,0,-1,0,0,0,0,-0.02865665,-1,-1,-1,-0.348858051,-0.180189488,1,0.116294007707736,0.226398881394888,0.0123825816348311,0.2028537760199568,0.2512956665570773,122,0,head and body,0.0030721538905565,The study examined the head and body of the specimen.
place,time,place and time,time and place,1218090,,,no,0,1,0,0,0,0,-1.106275998,0,0,0,-0.361323055,0.0553675799999999,1,2.4827794282943008,0.1626514901204175,0.0225016764868558,0.1219718520101988,0.2106702941380819,10,0,time and place,0.0216372358054233,The time and place of the meeting were announced yesterday.
sights,sounds,sights and sounds,sounds and sights,143294,,,no,0,0,1,0,0,0,-1.933125657,0,0,0,0.399430541,0.060756451,1,0.0491446385965019,0.7926102397619015,0.0137171341959609,0.7650311974276389,0.818444760664583,129,1,sights and sounds,0.0025453669823267,The festival offered a variety of sights and sounds that delighted visitors.
black,white,black and white,white and black,2268565,,,no,0,-1,0,0,0,0,-0.212280694,0,0,0,0.332201855,-0.082472565,1,4.861344761350802,0.9217517281463764,0.0192589923236909,0.8784269557737162,0.9532033503249788,2,1,black and white,0.040297084652965,The photograph was printed in black and white.
Africa,Asia,Africa and Asia,Asia and Africa,293128,,,no,0,0,-1,-1,0,0,0.524089675,-1,-1,0,-0.0906361729999999,-0.1955333699999999,1,0.3884101690595665,0.3865787315465656,0.0143487852553727,0.3597209892399567,0.4159250675783523,22,1,Africa and Asia,0.0052069056122061,Trade agreements between Africa and Asia have increased in recent years.
college,school,college and school,school and college,301287,,,no,-1,0,-1,0,0,-1,-0.885624709,-1,-1,-1,-0.472355263,-0.419624993,1,0.4068843969587626,0.1193817547407259,0.0121593835188218,0.0973863742375263,0.1451013463984574,90,0,school and college,0.0053518359596652,Many students attend both school and college before entering the workforce.
knowledge,skills,knowledge and skills,skills and knowledge,437430,,,no,0,0,-1,0,0,0,1.139123909,-1,-1,-1,0.168605263,-0.176883122,1,0.7151497246803279,0.6174989628076445,0.0203186610962618,0.5784272483894402,0.6581762990431765,20,0,skills and knowledge,0.0077701779493849,The program aims to improve students' skills and knowledge.
man,woman,man and woman,woman and man,731849,,,no,0,0,0,1,0,0,1.177898817,1,1,1,0.460577933,0.2461141909999999,1,1.3817956008726808,0.9101461906471664,0.0099120365767103,0.8895849619411716,0.9281915472599912,69,1,man and woman,0.0130000159158709,The man and woman walked together.
female,male,female and male,male and female,1742846,,,no,0,0,0,-1,0,0,-0.009936803,-1,0,0,-0.4263520699999999,-0.150667323,1,3.670971845927655,0.0688884976035871,0.0156736939761092,0.0429503136448915,0.1042322018245525,5,0,male and female,0.0309586072248675,The study compared the health outcomes of male and female participants.
place,time,place and time,time and place,1218090,,,no,0,1,0,0,0,0,-1.106275998,0,0,0,-0.361323055,0.0553675799999999,1,2.4827794282943008,0.1626514901204175,0.0225016764868558,0.1219718520101988,0.2106702941380819,10,0,time and place,0.0216372358054233,The report specifies the time and place of the meeting.
pepper,salt,pepper and salt,salt and pepper,831039,,,no,0,0,-1,0,0,0,-1.263496356,-1,-1,-1,-0.439249542,-0.231116138,1,1.6063891374974213,0.1108888845782801,0.0128459188158458,0.0874343450843807,0.1377662022092591,13,0,salt and pepper,0.0147619525704202,She seasoned the soup with salt and pepper.
north,south,north and south,south and north,1532336,,,no,0,0,1,0,0,0,-0.03060052,0,0,0,0.4390120709999999,0.1108186749999999,1,3.194319104775581,0.9424963565428632,0.0113710675834007,0.9175534698853174,0.9617457215078572,8,0,south and north,0.0272192657070817,The map shows the regions of south and north.
men,women,men and women,women and men,7628255,,,no,0,0,0,1,0,0,0.358413359,1,1,1,0.406428141,0.22889779,1,16.997162205773183,0.9994897777988272,0.0006675570085757,0.9977925747444234,0.9999577683015028,1,1,men and women,0.1355025919422208,The study surveyed men and women across the country.
color,scent,color and scent,scent and color,4058,,,no,0,0,1,0,0,0,2.700648257,-1,-1,-1,0.180137999,0.075809102,1,-0.266124094798824,0.6535453008661362,0.0108012787240747,0.6320548010638743,0.6744639064970248,361,1,color and scent,7.208326387903029e-05,The artist considered both color and scent when designing the installation.
gentlemen,ladies,gentlemen and ladies,ladies and gentlemen,501922,,,no,0,0,-1,1,0,0,-0.283997477,-1,-1,0,-0.40864716,0.0176318829999999,1,0.8611774125924437,0.1951646924420503,0.0163659759718066,0.164252929799902,0.2283357211826151,17,0,ladies and gentlemen,0.0089157653949459,The host greeted the crowd with the words ladies and gentlemen before beginning the ceremony.
day,night,day and night,night and day,1876827,,,no,0,1,0,0,0,0,0.8583704,0,0,0,0.197528861,0.107221499,1,3.974341808933193,0.8287552251780391,0.0220035345971349,0.7832750022518573,0.869033433177916,3,1,day and night,0.0333385450705492,The store is open day and night.
boys,girls,boys and girls,girls and boys,1835429,,,no,0,0,0,1,0,0,0.056064285,0,0,0,0.382519564,0.1258780029999999,1,3.8806053110080896,0.9391975816403516,0.0128405188909181,0.911040292982693,0.9607473237053664,4,1,boys and girls,0.0326031820941904,The school organized a field trip for boys and girls.
expense,time,expense and time,time and expense,78761,,,no,0,1,0,0,0,0,-3.610925808,0,0,0,-0.40732723,-0.0123728379999999,1,-0.0969758846316902,0.2415159453826561,0.0166006753242199,0.2099843613494922,0.2750229952373639,160,0,time and expense,0.0013990512435624,The committee considered both time and expense when planning the project.
length,quality,length and quality,quality and length,10492,,,no,0,1,1,0,0,0,0.010076506,2,2,1,0.1245711019999999,0.267153992,1,-0.2515557430028407,0.6694793707607392,0.0165441057603359,0.6354084267405681,0.7004990145687391,283,1,length and quality,0.0001863720070524,The researchers evaluated length and quality when assessing the new material.
college,school,college and school,school and college,301287,,,no,-1,0,-1,0,0,-1,-0.885624709,-1,-1,-1,-0.472355263,-0.419624993,1,0.4068843969587626,0.1193817547407259,0.0121593835188218,0.0973863742375263,0.1451013463984574,90,0,school and college,0.0053518359596652,Many students attend both school and college before entering the workforce.
fruits,vegetables,fruits and vegetables,vegetables and fruits,667661,,,no,0,0,0,0,0,0,0.128017055,2,2,1,0.3501050679999999,0.108532524,1,1.236456252865131,0.8380873039743932,0.0122736067416073,0.8131524332060616,0.8611790560956395,16,0,vegetables and fruits,0.0118598284979638,The market offers a wide selection of vegetables and fruits.
place,time,place and time,time and place,1218090,,,no,0,1,0,0,0,0,-1.106275998,0,0,0,-0.361323055,0.0553675799999999,1,2.4827794282943008,0.1626514901204175,0.0225016764868558,0.1219718520101988,0.2106702941380819,10,0,time and place,0.0216372358054233,Please specify the time and place for the meeting.
development,research,development and research,research and development,1380352,,,no,0,0,0,0,0,-1,0.222714832,-1,-1,0,-0.480749838,-0.27068725,1,2.8501853809085125,0.0587070409075365,0.0119937015429323,0.0384867218829944,0.0852750803503034,9,0,research and development,0.0245195360921506,The company's research and development department unveiled a new product this week.
goods,services,goods and services,services and goods,1553253,,,no,0,1,0,0,0,0,-0.671479909,2,2,1,0.4925981149999999,0.163859347,1,3.24168096590654,0.9602660946447727,0.0089291149759382,0.9403113970155018,0.9749904571999912,7,1,goods and services,0.0275908195835129,The company offers a wide range of goods and services.
fall,rise,fall and rise,rise and fall,746325,,,no,0,-1,0,0,0,0,0.334721403,0,0,0,-0.470051921,-0.067965168,1,1.4145732602756422,0.1245054483981924,0.0141110634069529,0.098571711474342,0.1539915536431431,14,0,rise and fall,0.0132571567063867,The rise and fall of empires has fascinated historians for centuries.
gentlemen,ladies,gentlemen and ladies,ladies and gentlemen,501922,,,no,0,0,-1,1,0,0,-0.283997477,-1,-1,0,-0.40864716,0.0176318829999999,1,0.8611774125924437,0.1951646924420503,0.0163659759718066,0.164252929799902,0.2283357211826151,17,0,ladies and gentlemen,0.0089157653949459,The host addressed the crowd with a polite “ladies and gentlemen” before starting the ceremony.
friends,relations,friends and relations,relations and friends,83205,,,no,0,0,-1,0,0,0,0.218318519,1,1,1,0.17413016,0.0109601929999999,1,-0.0869134420794133,0.6399298369628534,0.0112156198432678,0.6178801877884362,0.6618032558939523,159,0,relations and friends,0.0014779911215019,The study examined relations and friends among college students.
god,man,god and man,man and god,501367,,,no,0,0,0,1,0,0,-0.518086474,0,0,0,0.3238296499999999,0.111173713,1,0.85992073941141,0.8059585862501526,0.0117403486409924,0.782487483633405,0.8282888818925639,76,1,god and man,0.0089059067918279,The relationship between god and man has been a central theme in many religions.
feet,hands,feet and hands,hands and feet,574548,,,no,0,-1,0,0,0,0,-0.043844078,0,0,0,-0.382257009,-0.0780193209999999,1,1.025622721503709,0.1852998220935968,0.0141564407709284,0.158470358720084,0.2139767221909053,73,0,hands and feet,0.0102058391067444,The doctor examined the patient's hands and feet for signs of infection.
aloes,myrrh,aloes and myrrh,myrrh and aloes,7735,,,no,0,0,0,0,0,0,-0.591443339,-1,-1,-1,-0.3426632189999999,-0.1200015429999999,1,-0.2577983519399756,0.2610408509620858,0.0138050166201619,0.2348604128527112,0.2888129357017451,302,0,myrrh and aloes,0.0001373987299419,The ancient recipe called for myrrh and aloes.
boys,girls,boys and girls,girls and boys,1835429,,,no,0,0,0,1,0,0,0.056064285,0,0,0,0.382519564,0.1258780029999999,1,3.8806053110080896,0.9391975816403516,0.0128405188909181,0.911040292982693,0.9607473237053664,4,1,boys and girls,0.0326031820941904,The school organized a field trip for boys and girls.
fall,rise,fall and rise,rise and fall,746325,,,no,0,-1,0,0,0,0,0.334721403,0,0,0,-0.470051921,-0.067965168,1,1.4145732602756422,0.1245054483981924,0.0141110634069529,0.098571711474342,0.1539915536431431,14,0,rise and fall,0.0132571567063867,The rise and fall of empires is a common theme in history.
female,male,female and male,male and female,1742846,,,no,0,0,0,-1,0,0,-0.009936803,-1,0,0,-0.4263520699999999,-0.150667323,1,3.670971845927655,0.0688884976035871,0.0156736939761092,0.0429503136448915,0.1042322018245525,5,0,male and female,0.0309586072248675,The study compared the health outcomes of male and female participants.
man,woman,man and woman,woman and man,731849,,,no,0,0,0,1,0,0,1.177898817,1,1,1,0.460577933,0.2461141909999999,1,1.3817956008726808,0.9101461906471664,0.0099120365767103,0.8895849619411716,0.9281915472599912,69,1,man and woman,0.0130000159158709,The man and woman were late for the meeting.
men,women,men and women,women and men,7628255,,,no,0,0,0,1,0,0,0.358413359,1,1,1,0.406428141,0.22889779,1,16.997162205773183,0.9994897777988272,0.0006675570085757,0.9977925747444234,0.9999577683015028,1,1,men and women,0.1355025919422208,The study collected data from men and women in urban and rural areas.
hands,knees,hands and knees,knees and hands,339150,,,no,0,1,0,0,0,0,2.089498389,0,0,0,0.481444788,0.138599031,1,0.4926166792172822,0.8674515836450579,0.0108888466967899,0.845199878006145,0.8876433823033479,87,1,hands and knees,0.0060244058512994,The child fell to his hands and knees.
months,years,months and years,years and months,125753,,,no,0,0,0,0,0,1,-1.537043183,0,0,0,0.392861403,0.256353118,1,0.0094269732478319,0.8227294300080077,0.0121716255952411,0.7979112694661255,0.8454590807433954,137,0,years and months,0.0022337818340511,The project timeline is measured in years and months.
fall,rise,fall and rise,rise and fall,746325,,,no,0,-1,0,0,0,0,0.334721403,0,0,0,-0.470051921,-0.067965168,1,1.4145732602756422,0.1245054483981924,0.0141110634069529,0.098571711474342,0.1539915536431431,14,0,rise and fall,0.0132571567063867,The rise and fall of empires is a common theme in history.
black,white,black and white,white and black,2268565,,,no,0,-1,0,0,0,0,-0.212280694,0,0,0,0.332201855,-0.082472565,1,4.861344761350802,0.9217517281463764,0.0192589923236909,0.8784269557737162,0.9532033503249788,2,1,black and white,0.040297084652965,The photograph was printed in black and white.
gas,oil,gas and oil,oil and gas,1040905,,,no,0,-1,0,0,0,0,-0.310324221,0,0,0,-0.414552241,-0.085058577,1,2.0815836849042952,0.1243538501992748,0.0161351598344625,0.095138763357124,0.1584833912382707,12,0,oil and gas,0.0184898545559393,The company announced a new investment in oil and gas.
testament,will,testament and will,will and testament,248768,,,no,0,0,0,0,0,0,-4.261424859,-2,-2,-1,-0.498902592,-0.202086629,1,0.2879668856169464,0.1436331415935104,0.0116100182985711,0.1220030731154661,0.1673395686776251,99,0,will and testament,0.0044189278927202,The lawyer reviewed the will and testament before the court hearing.
error,trial,error and trial,trial and error,454209,,,no,0,-1,0,0,0,-1,-0.045549711,0,0,0,-0.49951344,-0.3317637,1,0.7531420117155786,0.10671423991231,0.0107275232411474,0.0870981054512844,0.1290189421563151,81,0,trial and error,0.0080682275020282,The researchers used trial and error to develop the new algorithm.
men,women,men and women,women and men,7628255,,,no,0,0,0,1,0,0,0.358413359,1,1,1,0.406428141,0.22889779,1,16.997162205773183,0.9994897777988272,0.0006675570085757,0.9977925747444234,0.9999577683015028,1,1,men and women,0.1355025919422208,The survey included men and women from all age groups.
men,officers,men and officers,officers and men,457386,,,no,0,0,0,-1,0,0,1.961113083,2,2,1,-0.409400375,0.0369168739999999,1,0.7603356165734958,0.2034753298264612,0.0169642036946063,0.1713519437201628,0.2377590907482828,79,0,officers and men,0.0081246613436604,The report highlighted the contributions of officers and men during the operation.
arms,legs,arms and legs,legs and arms,667976,,,no,0,1,0,0,0,0,0.779154987,0,0,0,0.336992646,0.1051687369999999,1,1.237169499805718,0.8302367469814647,0.0124055041699752,0.8051593062788397,0.8536303900499871,15,1,arms and legs,0.0118654239213551,The doctor examined the patient's arms and legs.
